scale,year,count
PHQ-4,2000,0
PHQ-4,2001,0
PHQ-4,2002,0
PHQ-4,2003,0
PHQ-4,2004,0
PHQ-4,2005,0
PHQ-4,2006,0
PHQ-4,2007,1
PHQ-4,2008,0
PHQ-4,2009,2
PHQ-4,2010,2
PHQ-4,2011,1
PHQ-4,2012,6
PHQ-4,2013,10
PHQ-4,2014,11
PHQ-4,2015,9
PHQ-4,2016,11
PHQ-4,2017,12
PHQ-4,2018,29
PHQ-4,2019,40
PHQ-4,2020,73
PHQ-4,2021,113
PHQ-4,2022,149
PHQ-4,2023,121
PHQ-4,2024,147
PHQ-4,2025,187
SDI,2000,0
SDI,2001,0
SDI,2002,0
SDI,2003,1
SDI,2004,0
SDI,2005,0
SDI,2006,0
SDI,2007,0
SDI,2008,0
SDI,2009,0
SDI,2010,0
SDI,2011,1
SDI,2012,0
SDI,2013,1
SDI,2014,1
SDI,2015,1
SDI,2016,1
SDI,2017,1
SDI,2018,2
SDI,2019,3
SDI,2020,2
SDI,2021,0
SDI,2022,0
SDI,2023,3
SDI,2024,4
SDI,2025,5
BRIEF,2000,1
BRIEF,2001,0
BRIEF,2002,10
BRIEF,2003,0
BRIEF,2004,3
BRIEF,2005,3
BRIEF,2006,5
